id,來源,快照日期,城市,當月業績,當月佔比,次月業績,次月佔比,當月總業績,次月總業績
20260531_台北,schedule,2026/05/31,台北,3190350,0.6487999838936296,2044200,0.6266555776239632,4917309,3262079
20260531_台中,schedule,2026/05/31,台中,292800,0.059544763202800555,196200,0.0601456923636736,4917309,3262079
20260531_桃園,schedule,2026/05/31,桃園,1089699,0.2216047435701112,733789,0.22494519599310747,4917309,3262079
20260531_新竹,schedule,2026/05/31,新竹,281630,0.057273195562857655,246930,0.07569712444119225,4917309,3262079
20260531_高雄,schedule,2026/05/31,高雄,62830,0.012777313770600953,40960,0.01255640957806356,4917309,3262079
20260531_加總,schedule,2026/05/31,加總,4917309,1.0,3262079,1.0,4917309,3262079
