城市,本月加總,本月佔比,次月加總,次月佔比,本月家電加總,次月家電加總,儲值金
台北,2196600,0.6312504310642113,0,0.0,0,0,0
台中,234400,0.06736096742304067,0,0.0,0,0,0
桃園,783500,0.22515920638204934,0,0.0,188200,0,0
新竹,237950,0.06838115272317631,0,0.0,0,0,0
高雄,27310,0.007848242407522358,3760,1.0,0,0,0
加總,3479760,1.0,3760,1.0,188200,0,0
