城市,本月加總,本月佔比,次月加總,次月佔比,本月家電加總,次月家電加總,儲值金
台北,2972450,0.6466980640504018,1315700,0.6296932656274677,0,0,1000000
台中,272400,0.0592644292241516,148200,0.07092843502773484,0,0,70000
桃園,1028499,0.2237643399141362,412890,0.19760891726451713,231200,17500,160000
新竹,279950,0.06090703730286799,199530,0.09549494359705757,0,0,0
高雄,43050,0.00936612950844246,13110,0.006274438483222697,0,0,0
加總,4596349,1.0,2089430,1.0,231200,17500,1230000
