id,來源,快照日期,城市,當月業績,當月佔比,次月業績,次月佔比,當月總業績,次月總業績
20260630_台北,schedule,2026/06/30,台北,3143300,0.6441073693973078,2203700,0.6838229042350039,4880087,3222618
20260630_台中,schedule,2026/06/30,台中,344400,0.07057251233430879,154200,0.04784929520036194,4880087,3222618
20260630_桃園,schedule,2026/06/30,桃園,1059827,0.2171737921885409,636388,0.1974754687027752,4880087,3222618
20260630_新竹,schedule,2026/06/30,新竹,237330,0.048632329710515405,133530,0.04143525543517724,4880087,3222618
20260630_高雄,schedule,2026/06/30,高雄,95230,0.019513996369327023,94800,0.02941707642668166,4880087,3222618
20260630_加總,schedule,2026/06/30,加總,4880087,1.0,3222618,1.0,4880087,3222618
