城市,本月加總,本月佔比,次月加總,次月佔比,本月家電加總,次月家電加總,儲值金
台北,2896400,0.6883295768783622,1046400,0.6906816719196053,0,0,1100000
台中,229000,0.0544218592408317,78000,0.051484298938961406,0,0,70000
桃園,814818,0.1936415305803319,347220,0.2291843368921305,118901,0,190000
新竹,138200,0.0328432355767814,22080,0.01457401693041369,0,0,0
高雄,129450,0.030763797723692855,21325,0.014075675318889128,4200,0,0
加總,4207868,1.0,1515025,1.0,123101,0,1360000
