id,來源,快照日期,城市,當月業績,當月佔比,次月業績,次月佔比,當月總業績,次月總業績
20260731_台北,schedule,2026/07/31,台北,3274200,0.6996427424405698,1839900,0.6390596420932564,4679817,2879074
20260731_台中,schedule,2026/07/31,台中,257800,0.05508762415282478,127700,0.04435453899413492,4679817,2879074
20260731_桃園,schedule,2026/07/31,桃園,851717,0.18199792855147967,749719,0.26040282396353825,4679817,2879074
20260731_新竹,schedule,2026/07/31,新竹,140000,0.029915699695094916,83280,0.028925967168610463,4679817,2879074
20260731_高雄,schedule,2026/07/31,高雄,156100,0.03335600516003083,78475,0.027257027780459967,4679817,2879074
20260731_加總,schedule,2026/07/31,加總,4679817,1.0,2879074,1.0,4679817,2879074
