城市,本月加總,本月佔比,次月加總,次月佔比,本月家電加總,次月家電加總,儲值金
台北,3063470,0.6731602121612577,1369200,0.63276689943295,0,0,1200000
台中,230600,0.05067154074444536,135000,0.06238937439632503,0,0,100000
桃園,910078,0.19997855358899974,491200,0.22700489409981375,294900,112800,160000
新竹,291490,0.06405137645966338,161980,0.07485800640530911,0,0,0
高雄,55240,0.012138317045633831,6450,0.002980825665602196,13100,0,0
加總,4550878,1.0,2163830,1.0,308000,112800,1460000
