id,來源,日期,台北業績,台北佔比,台中業績,台中佔比,桃園業績,桃園佔比,新竹業績,新竹佔比,高雄業績,高雄佔比,全區合計
20260422041222,schedule,2026/04/22 04:12,3171470,0.676641182416849,252200,0.0538075107775036,919678,0.19621563797316793,288490,0.06155007448137197,55240,0.011785594351107449,4687078
20260421230140,schedule,2026/04/21 23:01,3163070,0.6760606308021198,252200,0.0539041156497626,919678,0.1965679193994542,288490,0.0616605801895321,55240,0.0118067539591311,4678678
20260421142547,schedule,2026/04/21 14:25,3154670,0.6765209589031108,252200,0.0540844480834333,912478,0.1956814790573951,288490,0.0618668613306489,55240,0.0118462526254117,4663078
20260421034944,schedule,2026/04/21 03:49,3132270,0.6760083893783461,247400,0.0533940163307131,912478,0.1969315490437205,286090,0.0617441153276221,55240,0.0119219299195981,4633478
20260420230718,schedule,2026/04/20 23:07,3132270,0.6760083893783461,247400,0.0533940163307131,912478,0.1969315490437205,286090,0.0617441153276221,55240,0.0119219299195981,4633478
20260420153044,schedule,2026/04/20 15:30,3122670,0.6764768706248031,237800,0.0515155939739319,912478,0.1976738694623444,287890,0.0623667970948497,55240,0.0119668688440706,4616078
20260420043452,schedule,2026/04/20 04:34,3063470,0.6731602121612577,230600,0.0506715407444453,910078,0.1999785535889997,291490,0.0640513764596633,55240,0.0121383170456338,4550878
20260420043225,schedule,2026/04/20 04:32,3063470,0.6731602121612577,230600,0.0506715407444453,910078,0.1999785535889997,291490,0.0640513764596633,55240,0.0121383170456338,4550878
20260420042427,schedule,2026/04/20 04:24,3063470,0.6731602121612577,230600,0.0506715407444453,910078,0.1999785535889997,291490,0.0640513764596633,55240,0.0121383170456338,4550878
20260420041135,dashboard,2026/04/20 04:11,3063470,0.6731602121612577,230600,0.0506715407444453,910078,0.1999785535889997,291490,0.0640513764596633,55240,0.0121383170456338,4550878
20260420040705,dashboard,2026/04/20 04:07,3063470,0.6731602121612577,230600,0.0506715407444453,910078,0.1999785535889997,291490,0.0640513764596633,55240,0.0121383170456338,4550878
20260420040200,schedule,2026/04/20 04:02,3063470,0.6731602121612577,230600,0.0506715407444453,910078,0.1999785535889997,291490,0.0640513764596633,55240,0.0121383170456338,4550878
